                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3974,                 1.4506,                 1.5383,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.3852,                 1.2011,                 1.7645,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.2314,                 1.1479,                 1.4817,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.2277,                 1.2868,                 1.5497,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00096065,             0.00096065,             0.00096065
                     40,                 1.4042,                 1.5152,                  1.557,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.3393,                 1.5116,                 1.5467,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.5136,                 1.8379,                 1.7164,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.2789,                 1.4418,                 1.4317,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.4905,                 1.6146,                 1.7359,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.3567,                 1.7879,                 1.5329,                0.00178,                   0.05,                0.00156,                0.00031,                    nan,                    nan,                    nan,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.1721,                 1.7499,                 1.5005,                0.00095,                    0.1,                  0.001,                0.00036,                    nan,                    nan,                    nan,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.4524,                 1.5074,                 1.7527,                0.00095,                    0.1,                  0.001,                0.00036,                    nan,                    nan,                    nan,               0.001013,               0.001013,               0.001013
                     48,                 1.3595,                 1.4073,                 1.5243,                 0.0019,                    0.2,                 0.0013,                0.00036,                    nan,                    nan,                    nan,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.2889,                 1.4235,                 1.5382,                 0.0019,                    0.2,                 0.0013,                0.00036,                    nan,                    nan,                    nan,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.2825,                  1.476,                 1.4321,                 0.0019,                    0.2,                0.00226,                0.00098,                 4.3469,                    inf,                 119.78,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.1101,                 1.3612,                 1.4334,                 0.0019,                    0.2,                0.00226,                0.00098,                 4.3469,                    inf,                 119.78,                0.00101,                0.00101,                0.00101
                     52,                 1.3437,                 1.3622,                 1.5727,                0.00199,                    0.2,                0.00141,                0.00086,                 4.5347,                    nan,                 160.95,                0.00101,                0.00101,                0.00101
                     53,                 1.2771,                 1.2914,                 1.6095,                0.00199,                    0.2,                0.00141,                0.00086,                 4.5347,                    nan,                 160.95,              0.0009902,              0.0009902,              0.0009902
                     54,                  1.386,                 1.7006,                 1.7348,                0.00825,                   0.35,                0.00437,                  0.002,                 2.8971,                    inf,                  129.4,              0.0009704,              0.0009704,              0.0009704
                     55,                  1.174,                  1.361,                 1.4592,                0.00825,                   0.35,                0.00437,                  0.002,                 2.8971,                    inf,                  129.4,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.2348,                 1.3439,                 1.4783,                0.00904,                   0.05,                0.00189,                0.00069,                 3.7473,                 259.82,                 5.8968,              0.0009308,              0.0009308,              0.0009308
                     57,                   1.26,                 1.3659,                 1.5495,                0.00904,                   0.05,                0.00189,                0.00069,                 3.7473,                 259.82,                 5.8968,               0.000911,               0.000911,               0.000911
